"回测数据基于BINANCE交易所的btcusdt的1m分钟数据,开始时间为：2018-01-01 00:00:00,结束时间为：2020-07-01 00:00:00，'
'交易手续费设置为：0.002,滑点为：0.5,合约乘数为：1,盘口一跳为：0.5,合约方向：False(注：F 正向，T 反向)。'
'策略名为：BollVixV1,回测指标为：total_net_pnl。'
'回测时间为：2020-10-17 ，算法类型：EX
版本号：1.0，本次版本升级内容为：动态止盈止损 '
"
参数,总盈亏,总盈亏,Sharpe Ratio,收益回撤比,年化收益,收益标准差,百分比最大回撤,最长回撤天数,日均成交笔数,日均滑点
"{'open_window': 15, 'boll_length': 530}",17904.300859999996,17904.300859999996,1.1143562703985512,6.00668561271271,47.744802293333336,1.5851459531833503,-29.80728810262162,15,0.23555555555555555,0.11777777777777777
"{'open_window': 45, 'boll_length': 130}",17290.695580000003,17290.695580000003,1.320149019702568,16.885898668285424,46.10852154666658,1.3090519425232041,-10.239724825824533,105,0.34,0.17
"{'open_window': 45, 'boll_length': 180}",17013.776560000002,17013.776560000002,1.1073565370116396,6.511242228528809,45.370070826666655,1.5447491813268792,-26.129847366842924,13,0.2311111111111111,0.11555555555555555
"{'open_window': 15, 'boll_length': 550}",16915.683919999996,16915.683919999996,1.1865768792522045,10.872617518969095,45.10849045333331,1.4363386523249078,-15.558060320330183,145,0.2311111111111111,0.11555555555555555
"{'open_window': 45, 'boll_length': 120}",16487.23018000001,16487.23018000001,1.2203284867173905,11.699305261917806,43.965947146666686,1.373978503377416,-14.092486528808926,99,0.36444444444444446,0.18222222222222223
"{'open_window': 15, 'boll_length': 460}",16475.09782,16475.09782,1.0826282079838525,6.0331068093869975,43.93359418666663,1.5480074036533904,-27.307817249921957,142,0.3088888888888889,0.15444444444444444
"{'open_window': 15, 'boll_length': 560}",16440.86002,16440.86002,1.171608896524471,11.550205367612813,43.84229338666664,1.4285390063180068,-14.234257744109682,145,0.2311111111111111,0.11555555555555555
"{'open_window': 15, 'boll_length': 500}",16285.429079999998,16285.429079999998,1.165235514602378,9.99312213498152,43.42781087999994,1.427643101432224,-16.296637687426895,144,0.2688888888888889,0.13444444444444445
"{'open_window': 15, 'boll_length': 390}",16125.367759999997,16125.367759999997,1.2111947393387112,13.443740246465618,43.00098069333334,1.3647901374900084,-11.994703456308887,151,0.34444444444444444,0.17222222222222222
"{'open_window': 30, 'boll_length': 280}",15922.798599999998,15922.798599999998,1.1434257590058126,11.334926341650455,42.460796266666655,1.4339609769776958,-14.047553658545883,144,0.22666666666666666,0.11333333333333333
"{'open_window': 15, 'boll_length': 360}",15885.124079999998,15885.124079999998,1.1428580438642062,11.30117454832077,42.36033087999995,1.4324827512741987,-14.056170898059737,99,0.37333333333333335,0.18666666666666668
"{'open_window': 45, 'boll_length': 190}",15674.373900000002,15674.373900000002,1.11243957909109,10.13994148782208,41.79833039999999,1.459002806766495,-15.458051625667357,237,0.2288888888888889,0.11444444444444445
"{'open_window': 45, 'boll_length': 160}",15607.844200000003,15607.844200000003,1.065376054399901,6.654066578968966,41.62091786666666,1.5192628189592678,-23.45609863497699,31,0.28444444444444444,0.14222222222222222
"{'open_window': 15, 'boll_length': 540}",15590.784279999994,15590.784279999994,0.9934512025561839,5.204703838188008,41.57542474666666,1.628101204917197,-29.955180476566472,15,0.24222222222222223,0.12111111111111111
"{'open_window': 60, 'boll_length': 90}",15300.853159999999,15300.853159999999,1.0224958390156251,10.616956068999507,40.802275093333336,1.5626723750044407,-14.41171373467111,52,0.3622222222222222,0.1811111111111111
"{'open_window': 30, 'boll_length': 270}",15228.23028,15228.23028,0.9757340030518915,5.137600509362594,40.60861407999998,1.6324920977283057,-29.640744258430697,144,0.23555555555555555,0.11777777777777777
"{'open_window': 15, 'boll_length': 370}",15137.631659999997,15137.631659999997,1.1075349697950412,10.779173659869713,40.36701775999996,1.4326277807893584,-14.043406422105043,99,0.38,0.19
"{'open_window': 45, 'boll_length': 110}",15133.847000000007,15133.847000000007,1.013871928622012,7.2082586486426194,40.35692533333335,1.5647204967695016,-20.99514978260366,11,0.39555555555555555,0.19777777777777777
"{'open_window': 15, 'boll_length': 470}",15107.668819999995,15107.668819999995,1.0239685026494805,6.128460701822021,40.28711685333331,1.547540183986432,-24.651653253660267,19,0.3022222222222222,0.1511111111111111
"{'open_window': 30, 'boll_length': 250}",14957.57704,14957.57704,1.0670312426716058,8.06118245539841,39.88687210666666,1.4754128126577708,-18.555065739745434,197,0.2688888888888889,0.13444444444444445
"{'open_window': 15, 'boll_length': 380}",14951.67812,14951.67812,1.1101423915016861,11.433769929183233,39.87114165333331,1.4177502651513063,-13.07677014021224,151,0.3622222222222222,0.1811111111111111
"{'open_window': 30, 'boll_length': 290}",14933.59402,14933.59402,1.0585174476440977,9.765229661685794,39.822917386666674,1.4857163332676926,-15.292619362135905,237,0.21777777777777776,0.10888888888888888
"{'open_window': 15, 'boll_length': 580}",14906.124379999997,14906.124379999997,1.0644787889535292,9.823320621444084,39.74966501333328,1.475613442415803,-15.174221583952225,237,0.22666666666666666,0.11333333333333333
"{'open_window': 15, 'boll_length': 520}",14818.019819999998,14818.019819999998,0.9512619633086972,5.206701923297215,39.514719520000014,1.644824815446642,-28.459512448172354,15,0.26222222222222225,0.13111111111111112
"{'open_window': 30, 'boll_length': 180}",14805.952960000004,14805.952960000004,1.0809493854251442,9.558283818186547,39.48254122666666,1.44671172270641,-15.4901792430862,52,0.36666666666666664,0.18333333333333332
"{'open_window': 45, 'boll_length': 240}",14799.921260000003,14799.921260000003,0.9957294887380409,6.756190462644285,39.466456693333335,1.5701087140006529,-21.905719416630394,137,0.17555555555555555,0.08777777777777777
"{'open_window': 45, 'boll_length': 170}",14798.215400000001,14798.215400000001,0.9857937204659111,5.945544683996863,39.461907733333334,1.585813653812898,-24.889587391094963,31,0.26,0.13
"{'open_window': 15, 'boll_length': 480}",14717.722999999998,14717.722999999998,1.0162581543945395,5.8884475629938615,39.24726133333332,1.5327688191723718,-24.99423293245235,22,0.29555555555555557,0.14777777777777779
"{'open_window': 30, 'boll_length': 260}",14677.124259999997,14677.124259999997,0.9606385287534509,5.400760120366479,39.13899802666664,1.6185684529906874,-27.176034359778317,144,0.25555555555555554,0.12777777777777777
"{'open_window': 45, 'boll_length': 140}",14653.2851,14653.2851,1.0251076015506675,6.120556528924846,39.075426933333326,1.515153664502438,-23.941099197026833,105,0.32666666666666666,0.16333333333333333
"{'open_window': 15, 'boll_length': 570}",14649.150439999998,14649.150439999998,1.0547225815823167,8.772196928000776,39.06440117333327,1.4723367587973033,-16.699523004596507,237,0.2311111111111111,0.11555555555555555
"{'open_window': 15, 'boll_length': 350}",14605.315460000005,14605.315460000005,1.0413346159596257,7.536848884289284,38.94750789333331,1.4883236828449464,-19.378543585297393,52,0.38222222222222224,0.19111111111111112
"{'open_window': 45, 'boll_length': 230}",14566.535060000006,14566.535060000006,1.0102064676437608,7.3193411220559925,38.844093493333354,1.5314966800139214,-19.90142940066754,137,0.18,0.09
"{'open_window': 30, 'boll_length': 230}",14548.665439999997,14548.665439999997,0.9632880957043504,4.968236434743319,38.79644117333329,1.604790213405903,-29.28335966110605,194,0.30666666666666664,0.15333333333333332
"{'open_window': 15, 'boll_length': 770}",14541.403920000004,14541.403920000004,1.1792539443880847,8.211077317597084,38.77707712,1.310460796644077,-17.709495791540594,137,0.16444444444444445,0.08222222222222222
"{'open_window': 30, 'boll_length': 210}",14536.788900000001,14536.788900000001,1.0131544096868599,5.743624755024354,38.764770399999975,1.5249820977183788,-25.309433537216435,151,0.32666666666666666,0.16333333333333333
"{'open_window': 15, 'boll_length': 780}",14447.966140000002,14447.966140000002,1.1692631652633843,8.546551699597703,38.52790970666665,1.3160423644149513,-16.905023976722774,137,0.1622222222222222,0.0811111111111111
"{'open_window': 15, 'boll_length': 430}",14405.847819999995,14405.847819999995,0.9954930545203663,5.609856815019361,38.41559418666665,1.5427850960778824,-25.67952854238808,148,0.32666666666666666,0.16333333333333333
"{'open_window': 60, 'boll_length': 140}",14324.531500000001,14324.531500000001,0.9458718194083762,7.611803422183949,38.1987506666667,1.6176474046377736,-18.818840563134344,145,0.22666666666666666,0.11333333333333333
"{'open_window': 15, 'boll_length': 490}",14288.126359999995,14288.126359999995,0.9588939091777201,5.229532812776516,38.10167029333332,1.5929905685978116,-27.321993897986463,31,0.2911111111111111,0.14555555555555555
"{'open_window': 30, 'boll_length': 240}",14157.27274,14157.27274,0.9754582108177475,5.644108069962308,37.75272730666664,1.5564071601643978,-25.083277223808604,237,0.29555555555555557,0.14777777777777779
"{'open_window': 15, 'boll_length': 340}",14078.232820000003,14078.232820000003,1.0385141198595915,7.4646660363336945,37.54195418666667,1.456474104034856,-18.85982943037943,52,0.38666666666666666,0.19333333333333333
"{'open_window': 15, 'boll_length': 420}",14060.264879999997,14060.264879999997,1.0117973829775246,6.046471467878463,37.49403967999999,1.4936626247848206,-23.25366944125075,151,0.3333333333333333,0.16666666666666666
"{'open_window': 45, 'boll_length': 870}",14035.388759999998,14035.388759999998,1.0112896815217232,7.670857903344019,37.42770336000001,1.4926517571346616,-18.297026143427118,5,0.03888888888888889,0.019444444444444445
"{'open_window': 15, 'boll_length': 740}",14029.07802,14029.07802,1.0267853738417148,7.143154524396319,37.41087472,1.4696852402306355,-19.639891552234932,137,0.17777777777777778,0.08888888888888889
"{'open_window': 15, 'boll_length': 510}",13992.290499999997,13992.290499999997,0.9206827331898914,5.017977340170666,37.31277466666666,1.6361923132967329,-27.88432380510532,144,0.2688888888888889,0.13444444444444445
"{'open_window': 15, 'boll_length': 400}",13931.491079999998,13931.491079999998,1.0223110192030633,6.716891870661699,37.15064287999995,1.4692656094793137,-20.740978637530986,151,0.3422222222222222,0.1711111111111111
"{'open_window': 45, 'boll_length': 60}",13906.743020000009,13906.743020000009,0.9139443631582265,6.373948487607833,37.08464805333334,1.6415281965462583,-21.81809759999999,112,0.7422222222222222,0.3711111111111111
"{'open_window': 15, 'boll_length': 810}",13865.480180000002,13865.480180000002,1.0863198934004485,7.373287687945825,36.97461381333335,1.3783158074487176,-18.805017201034897,134,0.16,0.08
"{'open_window': 15, 'boll_length': 760}",13854.357900000003,13854.357900000003,1.0477503814490765,7.3520361343681335,36.9449544,1.4282881809943853,-18.844246201723415,137,0.1688888888888889,0.08444444444444445
"{'open_window': 15, 'boll_length': 200}",13800.064180000005,13800.064180000005,0.9245060551364609,5.453351798939882,36.80017114666665,1.6144482648751142,-25.305655473543244,323,0.7111111111111111,0.35555555555555557
"{'open_window': 15, 'boll_length': 790}",13794.26696,13794.26696,1.122079249706298,7.901846845703051,36.784711893333316,1.329806130273512,-17.4570163524508,137,0.1622222222222222,0.0811111111111111
"{'open_window': 30, 'boll_length': 170}",13786.045600000003,13786.045600000003,1.0212203105456674,7.001550548772926,36.76278826666669,1.4605594862754634,-19.689989387302383,52,0.38222222222222224,0.19111111111111112
"{'open_window': 45, 'boll_length': 220}",13733.765020000003,13733.765020000003,0.9455382328887559,7.2512462728193565,36.623373386666685,1.5734588038150306,-18.93986840783465,137,0.18666666666666668,0.09333333333333334
"{'open_window': 15, 'boll_length': 330}",13719.702200000003,13719.702200000003,0.9404319200976822,6.869099482573229,36.58587253333332,1.5809174447285121,-19.973072503618,163,0.4111111111111111,0.20555555555555555
"{'open_window': 15, 'boll_length': 830}",13709.406340000001,13709.406340000001,1.0718595734793444,7.412104035655178,36.55841690666664,1.3863736795794395,-18.495971284337454,134,0.15555555555555556,0.07777777777777778
"{'open_window': 45, 'boll_length': 820}",13696.97268,13696.97268,0.979676961928121,7.427697005728887,36.52526048,1.5159027169343051,-18.440403087842302,156,0.04555555555555556,0.02277777777777778
"{'open_window': 15, 'boll_length': 840}",13664.49436,13664.49436,1.0679402782960061,8.0173766846312,36.43865162666666,1.3884054993087345,-17.043597797012534,134,0.15555555555555556,0.07777777777777778
"{'open_window': 60, 'boll_length': 130}",13663.218959999998,13663.218959999998,0.8567083018357627,4.843425379920934,36.43525056000002,1.7306256734413445,-28.209826493131708,144,0.2511111111111111,0.12555555555555556
"{'open_window': 15, 'boll_length': 720}",13662.013620000002,13662.013620000002,0.9020645872277776,5.819615838472389,36.43203632,1.6435116962856255,-23.475799776478354,137,0.18222222222222223,0.09111111111111111
"{'open_window': 45, 'boll_length': 880}",13567.50392,13567.50392,0.9754079737134882,7.173208588752771,36.180010453333324,1.5128692133908173,-18.914135497569607,86,0.04111111111111111,0.020555555555555556
"{'open_window': 45, 'boll_length': 830}",13533.59364,13533.59364,0.9512569902778228,7.182676251260545,36.08958304,1.5486731584515478,-18.84199310476354,156,0.04555555555555556,0.02277777777777778
"{'open_window': 30, 'boll_length': 360}",13485.357320000006,13485.357320000006,0.9136026124013856,5.6750613549079745,35.960952853333346,1.6086363598139493,-23.762487269564826,137,0.17777777777777778,0.08888888888888889
"{'open_window': 15, 'boll_length': 820}",13470.278380000005,13470.278380000005,1.0624208151006382,6.975593927286703,35.920742346666664,1.3822666267470647,-19.310582755265877,134,0.16,0.08
"{'open_window': 15, 'boll_length': 180}",13462.357540000008,13462.357540000008,0.9230565168764379,7.26110615164705,35.89962010666667,1.5903336271171298,-18.54036734739969,323,0.7733333333333333,0.38666666666666666
"{'open_window': 15, 'boll_length': 750}",13458.320280000002,13458.320280000002,0.987801887417077,6.709848165957655,35.888854080000016,1.485795498484446,-20.05756307315664,137,0.17555555555555555,0.08777777777777777
"{'open_window': 15, 'boll_length': 850}",13455.991539999999,13455.991539999999,1.0603517265480535,7.608227592687408,35.882644106666646,1.3839754055953972,-17.68610543792502,134,0.15555555555555556,0.07777777777777778
"{'open_window': 45, 'boll_length': 270}",13434.124800000005,13434.124800000005,1.0337196417075882,6.833676950604723,35.824332799999986,1.4180781761913117,-19.658706282290954,134,0.15555555555555556,0.07777777777777778
"{'open_window': 15, 'boll_length': 410}",13432.347199999997,13432.347199999997,0.9731036088349672,5.946168690740833,35.81959253333331,1.5062781336324405,-22.589919490370956,145,0.3377777777777778,0.1688888888888889
"{'open_window': 15, 'boll_length': 710}",13392.32572,13392.32572,0.8877167419966795,5.731606339059707,35.71286858666665,1.647847958152712,-23.36574587953481,137,0.18666666666666668,0.09333333333333334
"{'open_window': 60, 'boll_length': 680}",13378.0951,13378.0951,0.9319502187482573,6.495835558967771,35.674920266666675,1.568511613056777,-20.59487956330881,86,0.043333333333333335,0.021666666666666667
"{'open_window': 60, 'boll_length': 180}",13373.194200000002,13373.194200000002,0.9190353712685131,6.001634504207116,35.661851200000044,1.5901606142287517,-22.282586836345118,137,0.1688888888888889,0.08444444444444445
"{'open_window': 30, 'boll_length': 390}",13344.121260000004,13344.121260000004,1.1055028615973228,7.430634870655888,35.584323360000006,1.3200069244761397,-17.9582518752158,137,0.1622222222222222,0.0811111111111111
"{'open_window': 45, 'boll_length': 840}",13248.221879999997,13248.221879999997,0.9167215891557715,7.106425633764437,35.328591679999995,1.5841074873195995,-18.642595536431596,156,0.04555555555555556,0.02277777777777778
"{'open_window': 30, 'boll_length': 400}",13206.594940000004,13206.594940000004,1.0701327212614737,7.094253775688144,35.21758650666668,1.3541317200468628,-18.6159043044932,134,0.15777777777777777,0.07888888888888888
"{'open_window': 60, 'boll_length': 610}",13171.05762,13171.05762,0.939244425118451,7.193371183540255,35.12282032000003,1.5400279824850944,-18.309993025436796,156,0.04555555555555556,0.02277777777777778
"{'open_window': 60, 'boll_length': 660}",13149.31988,13149.31988,0.9408232014411019,7.006834618698789,35.064853013333334,1.5357264669191257,-18.766419639631668,5,0.043333333333333335,0.021666666666666667
"{'open_window': 15, 'boll_length': 800}",13121.03628,13121.03628,1.056033059572573,7.247744531695853,34.98943008000001,1.3661908535890614,-18.103613093175483,137,0.1622222222222222,0.0811111111111111
"{'open_window': 30, 'boll_length': 190}",13016.282120000005,13016.282120000005,1.0149623341999405,8.618373778651993,34.71008565333336,1.413772856988727,-15.10294453953922,52,0.35555555555555557,0.17777777777777778
"{'open_window': 15, 'boll_length': 310}",13009.30566,13009.30566,0.8484504929787082,5.851863941981118,34.691481759999995,1.690616460276106,-22.231046020519347,13,0.4488888888888889,0.22444444444444445
"{'open_window': 45, 'boll_length': 260}",12983.107740000003,12983.107740000003,1.0146329041423647,6.524584495855425,34.621620640000025,1.4117848737140424,-19.89875025489699,137,0.16444444444444445,0.08222222222222222
"{'open_window': 60, 'boll_length': 690}",12950.18736,12950.18736,0.9442966685950475,6.044397235456028,34.533832960000005,1.5143292208153585,-21.425109660290154,86,0.043333333333333335,0.021666666666666667
"{'open_window': 45, 'boll_length': 890}",12922.732799999998,12922.732799999998,0.9137048338328357,6.247319768861164,34.4606208,1.5627756216610107,-20.685243077217592,86,0.043333333333333335,0.021666666666666667
"{'open_window': 15, 'boll_length': 730}",12917.75844,12917.75844,0.8653651621163174,5.464768558776802,34.447355840000036,1.6496412432623582,-23.638253479652285,137,0.18222222222222223,0.09111111111111111
"{'open_window': 15, 'boll_length': 590}",12790.235640000003,12790.235640000003,0.9316856558444663,6.192978372452498,34.107295039999954,1.5219051811667659,-20.652802045770567,237,0.23333333333333334,0.11666666666666667
"{'open_window': 45, 'boll_length': 850}",12762.406559999998,12762.406559999998,0.8910186899659174,6.915590893316593,34.033084159999994,1.5890059918307375,-18.454542434448975,156,0.04555555555555556,0.02277777777777778
"{'open_window': 45, 'boll_length': 860}",12708.7874,12708.7874,0.9001289671857696,6.900728562844598,33.89009973333334,1.5684135800820695,-18.416587878021424,156,0.04555555555555556,0.02277777777777778
"{'open_window': 45, 'boll_length': 150}",12684.88292,12684.88292,0.8539650296384353,3.984630696427798,33.82635445333335,1.651076488203967,-31.8345259232479,102,0.30444444444444446,0.15222222222222223
"{'open_window': 60, 'boll_length': 670}",12673.119999999999,12673.119999999999,0.8963369672888727,6.2007001702577265,33.79498666666668,1.5720301999033701,-20.438208028164112,86,0.04555555555555556,0.02277777777777778
"{'open_window': 60, 'boll_length': 620}",12651.6165,12651.6165,0.9010689602615096,6.868778982156605,33.737644000000024,1.5619620029273587,-18.4190181877533,156,0.04555555555555556,0.02277777777777778
"{'open_window': 45, 'boll_length': 200}",12574.846960000003,12574.846960000003,0.912959065601997,6.014815924206875,33.53292522666669,1.53521861483299,-20.906453528182002,237,0.22444444444444445,0.11222222222222222
"{'open_window': 15, 'boll_length': 690}",12545.92524,12545.92524,0.867597426906548,5.70046604986818,33.45580063999999,1.612942848345816,-22.008595666121217,145,0.19111111111111112,0.09555555555555556
"{'open_window': 30, 'boll_length': 350}",12536.132599999999,12536.132599999999,0.8872692213275368,5.928892969513984,33.42968693333334,1.5763392045660136,-21.14413713396422,137,0.18666666666666668,0.09333333333333334
"{'open_window': 45, 'boll_length': 290}",12514.521520000006,12514.521520000006,1.009061707342405,7.546329535719047,33.37205738666665,1.3844404031019573,-16.583587372861203,127,0.14444444444444443,0.07222222222222222
"{'open_window': 60, 'boll_length': 700}",12316.33036,12316.33036,0.9121199825455945,5.750781439237792,32.843547626666684,1.5148952153220023,-21.416794378526085,86,0.04555555555555556,0.02277777777777778
"{'open_window': 45, 'boll_length': 210}",12314.39472,12314.39472,0.8895208851676081,6.556190845459651,32.83838592000001,1.553214671137852,-18.78284969164385,244,0.2111111111111111,0.10555555555555556
"{'open_window': 15, 'boll_length': 860}",12286.2373,12286.2373,0.9537171255946486,5.917822787102198,32.76329946666667,1.4463863816035882,-20.76141469930067,127,0.15333333333333332,0.07666666666666666
"{'open_window': 30, 'boll_length': 200}",12177.931280000004,12177.931280000004,0.9060779353280536,5.668155718950553,32.47448341333333,1.5131786853734361,-21.484821313721277,52,0.3422222222222222,0.1711111111111111
"{'open_window': 60, 'boll_length': 720}",12132.73056,12132.73056,0.8874668791577757,5.815472242804157,32.353948159999995,1.5409544246643692,-20.86284665017974,113,0.04111111111111111,0.020555555555555556
"{'open_window': 15, 'boll_length': 650}",12123.91362,12123.91362,0.8470016260855854,5.919725116931171,32.33043632,1.6137633231800084,-20.480534789232113,244,0.19555555555555557,0.09777777777777778
"{'open_window': 30, 'boll_length': 300}",12114.80792,12114.80792,0.8780664982934099,6.967634552315238,32.30615445333335,1.5558634306662555,-17.387260811453494,244,0.2222222222222222,0.1111111111111111
"{'open_window': 45, 'boll_length': 900}",12084.66794,12084.66794,0.9102769999273846,5.918557503592033,32.22578117333333,1.4982296399764572,-20.41826565453777,69,0.04555555555555556,0.02277777777777778
"{'open_window': 60, 'boll_length': 120}",12062.756599999997,12062.756599999997,0.787643975147884,4.348108654204844,32.167350933333346,1.729328682382512,-27.74253717954978,237,0.28444444444444444,0.14222222222222222
"{'open_window': 15, 'boll_length': 450}",12056.922779999994,12056.922779999994,0.8459435456422234,4.450652525557695,32.15179407999998,1.6096110817967513,-27.09023611877942,102,0.3244444444444444,0.1622222222222222
"{'open_window': 60, 'boll_length': 650}",12047.18156,12047.18156,0.8654095079402241,6.442181809946146,32.125817493333365,1.5725269006205793,-18.700468126187083,156,0.04555555555555556,0.02277777777777778
"{'open_window': 45, 'boll_length': 280}",12045.957560000003,12045.957560000003,0.9319383856877542,5.943831437420238,32.12255349333333,1.4601653780609858,-20.266317587950013,134,0.15555555555555556,0.07777777777777778
"{'open_window': 45, 'boll_length': 810}",12043.09578,12043.09578,0.9031963999723482,5.120998957016605,32.11492208,1.5063841108477392,-23.517083055638967,197,0.04777777777777778,0.02388888888888889
"{'open_window': 45, 'boll_length': 910}",12029.481580000001,12029.481580000001,0.9000110635168157,5.822353535665265,32.07861754666666,1.5105339386157115,-20.660857342846846,69,0.04555555555555556,0.02277777777777778
"{'open_window': 60, 'boll_length': 640}",12022.118579999998,12022.118579999998,0.8360169765034727,6.416238986570261,32.058982880000016,1.6254715790248866,-18.737018064887128,156,0.04555555555555556,0.02277777777777778
"{'open_window': 30, 'boll_length': 100}",12010.655600000006,12010.655600000006,0.8562547137886168,5.536147595502562,32.028414933333394,1.5860065855139782,-21.69497,108,0.7088888888888889,0.35444444444444445
"{'open_window': 15, 'boll_length': 700}",11996.107779999998,11996.107779999998,0.8297262924599167,5.415329229816943,31.98962074666668,1.635343546857491,-22.152130130794497,137,0.19111111111111112,0.09555555555555556
"{'open_window': 45, 'boll_length': 920}",11976.5373,11976.5373,0.887272699309342,5.704380247250456,31.937432800000003,1.5275521845835645,-20.995334779396522,69,0.04555555555555556,0.02277777777777778
"{'open_window': 15, 'boll_length': 660}",11927.235499999999,11927.235499999999,0.8157895350992873,5.903909706659326,31.805961333333325,1.656664323204105,-20.20226611282122,145,0.19777777777777777,0.09888888888888889
"{'open_window': 45, 'boll_length': 930}",11904.333320000002,11904.333320000002,0.8770865731206654,5.551934404788285,31.744888853333343,1.5388339749911903,-21.441775878571388,69,0.04555555555555556,0.02277777777777778
"{'open_window': 60, 'boll_length': 200}",11903.464380000003,11903.464380000003,0.9821085086666126,5.542860816925795,31.74257168,1.3742089798103325,-21.47530810019861,134,0.15555555555555556,0.07777777777777778
"{'open_window': 45, 'boll_length': 70}",11884.87194000001,11884.87194000001,0.7741669168991486,4.986663725908969,31.692991840000044,1.7414339971746386,-23.833313400000005,321,0.6577777777777778,0.3288888888888889
"{'open_window': 30, 'boll_length': 90}",11847.772460000007,11847.772460000007,0.8234750421238287,5.630629209425282,31.594059893333377,1.6336136891155337,-21.04164920000001,321,0.7533333333333333,0.37666666666666665
"{'open_window': 30, 'boll_length': 410}",11703.958160000006,11703.958160000006,0.9429852564055777,5.664578907007545,31.210555093333326,1.4145204306887964,-20.66165614803467,134,0.15777777777777777,0.07888888888888888
"{'open_window': 60, 'boll_length': 710}",11698.79938,11698.79938,0.8589262836955208,5.272306873867884,31.196798346666665,1.5524763282087524,-22.189147293350725,113,0.04555555555555556,0.02277777777777778
"{'open_window': 15, 'boll_length': 440}",11685.129559999998,11685.129559999998,0.8242152315666941,4.277889095647983,31.16034549333334,1.616541321529232,-27.315176477781094,148,0.3288888888888889,0.16444444444444445
"{'open_window': 30, 'boll_length': 220}",11670.332180000001,11670.332180000001,0.8242406918718501,4.349905315301445,31.120885813333356,1.6150658453111149,-26.82893381368064,194,0.32666666666666666,0.16333333333333333
"{'open_window': 15, 'boll_length': 250}",11630.364800000005,11630.364800000005,0.7853310534215536,4.966541909207093,31.01430613333334,1.6910388922966935,-23.417430100487735,13,0.5511111111111111,0.27555555555555555
"{'open_window': 15, 'boll_length': 870}",11604.819440000003,11604.819440000003,0.900298591743709,5.252149553937714,30.94618517333333,1.472834998929583,-22.09537127765045,127,0.15555555555555556,0.07777777777777778
"{'open_window': 60, 'boll_length': 100}",11504.051999999996,11504.051999999996,0.8091846264674435,4.967665018854019,30.677471999999998,1.62873092584148,-23.15786583100534,53,0.33555555555555555,0.16777777777777778
"{'open_window': 15, 'boll_length': 880}",11469.427620000002,11469.427620000002,0.8919774374273378,5.0934954617782155,30.585140319999983,1.474443381169184,-22.517792949983004,127,0.14666666666666667,0.07333333333333333
"{'open_window': 30, 'boll_length': 130}",11459.604240000002,11459.604240000002,0.7170675674887739,3.3198779785674373,30.55894464000003,1.832996654656865,-34.51814890180076,13,0.5111111111111111,0.25555555555555554
"{'open_window': 60, 'boll_length': 920}",11454.197,11454.197,0.7607074975651743,4.1088286807092125,30.544525333333322,1.7272718808903673,-27.87703720473184,58,0.028888888888888888,0.014444444444444444
"{'open_window': 30, 'boll_length': 110}",11432.367220000004,11432.367220000004,0.7468900405821723,4.071004940870412,30.486312586666685,1.7568801928426019,-28.082420400000004,14,0.6266666666666667,0.31333333333333335
"{'open_window': 15, 'boll_length': 240}",11348.128220000006,11348.128220000006,0.7626345490158456,4.226857757116358,30.261675253333358,1.7117207600807032,-26.847669999999997,17,0.5777777777777777,0.28888888888888886
"{'open_window': 60, 'boll_length': 50}",11330.95442,11330.95442,0.8503060271126918,5.656010337091981,30.2158784533334,1.5336032514686921,-20.033475444151673,323,0.6955555555555556,0.3477777777777778
